Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description\
t5,3-0,0,---,1(0-0)\'a0X,,MIL,Eric\'a0Sogard,Yu\'a0Darvish,3%,87%,Ground-rule Double (Line Drive to Deep CF-RF)\
t5,3-0,0,-2-,6(3-2)\'a0BSL*BBB,,MIL,Hernan\'a0Perez,Yu\'a0Darvish,1%,89%,Walk\
t5,3-0,0,12-,4(2-1)\'a0SBBX,OO,MIL,Neil\'a0Walker,Yu\'a0Darvish,-5%,84%,Ground Ball Double Play: SS-1B; Sogard to 3B\
t5,3-0,2,--3,5(1-2)\'a0FFFBS,O,MIL,Travis\'a0Shaw,Yu\'a0Darvish,-2%,82%,Strikeout Swinging\
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 0.,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 0.,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 0.\
Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 5th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 5-6-7\
b5,0-3,0,---,6(2-2)\'a0BCSFBX,O,LAD,Yasmani\'a0Grandal,Jimmy\'a0Nelson,3%,84%,Groundout: 2B-1B (2B-1B)\
b5,0-3,1,---,1(0-0)\'a0X,O,LAD,Adrian\'a0Gonzalez,Jimmy\'a0Nelson,2%,86%,Groundout: 1B unassisted\
b5,0-3,2,---,1(0-0)\'a0X,O,LAD,Logan\'a0Forsythe,Jimmy\'a0Nelson,1%,87%,Lineout: LF (Deep LF)\
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Brewers 3 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Brewers 3 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Brewers 3 Dodgers 0.\
Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7,Top of the 6th Brewers Batting Ahead 3-0 Dodgers' Pedro\'a0Baez facing 5-6-7\
,,,,,,,,,Pedro\'a0Baez replaces Yu\'a0Darvish pitching and batting 9th,Pedro\'a0Baez replaces Yu\'a0Darvish pitching and batting 9th,Pedro\'a0Baez replaces Yu\'a0Darvish pitching and batting 9th\
t6,3-0,0,---,4(1-2)\'a0.CCBX,O,MIL,Domingo\'a0Santana,Pedro\'a0Baez,-1%,86%,Groundout: 3B-1B (Weak 3B)\
t6,3-0,1,---,5(1-2)\'a0SBFFX,O,MIL,Stephen\'a0Vogt,Pedro\'a0Baez,-1%,85%,Foul Popfly: 3B (3B into Foul Terr.)\
t6,3-0,2,---,9(3-2)\'a0SBSBFBFFS,O,MIL,Keon\'a0Broxton,Pedro\'a0Baez,-1%,84%,Strikeout Swinging\
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Brewers 3 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Brewers 3 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Brewers 3 Dodgers 0.\
Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1,Bottom of the 6th Dodgers Batting Behind 0-3 Brewers' Jimmy\'a0Nelson facing 8-9-1\
b6,0-3,0,---,2(0-1)\'a0SX,O,LAD,Enrique\'a0Hernandez,Jimmy\'a0Nelson,3%,87%,Groundout: SS-1B\
,,,,,,,,,Chase\'a0Utley pinch hits for Pedro\'a0Baez (P) batting 9th,Chase\'a0Utley pinch hits for Pedro\'a0Baez (P) batting 9th,Chase\'a0Utley pinch hits for Pedro\'a0Baez (P) batting 9th\
b6,0-3,1,---,3(0-2)\'a0.CFX,,LAD,Chase\'a0Utley,Jimmy\'a0Nelson,-3%,84%,Single to CF (Ground Ball thru SS-2B)\
b6,0-3,1,1--,2(1-0)\'a0BX,O,LAD,Chris\'a0Taylor,Jimmy\'a0Nelson,3%,87%,Groundout: 2B-1B (2B-1B); Utley to 2B\
b6,0-3,2,-2-,2(1-0)\'a0*BX,R,LAD,Corey\'a0Seager,Jimmy\'a0Nelson,-9%,77%,Single to CF (Line Drive to LF-CF); Utley Scores; Seager to 2B/Adv on E8\
b6,1-3,2,-2-,6(2-2)\'a0BCCBFB,,LAD,Justin\'a0Turner,Jimmy\'a0Nelson,0%,77%,Wild Pitch; Seager to 3B\
b6,1-3,2,--3,7(3-2)\'a0BCCBFB.X,R,LAD,Justin\'a0Turner,Jimmy\'a0Nelson,-13%,64%,Double to RF (Fly Ball to Short RF); Seager Scores\
b6,2-3,2,-2-,9(3-2)\'a0*BCBCBFFFX,O,LAD,Curtis\'a0Granderson,Jimmy\'a0Nelson,6%,70%,Flyball: LF (Deep LF)\
,,,,,,,,,2 runs 3 hits 1 error 1 LOB. Brewers 3 Dodgers 2.,2 runs 3 hits 1 error 1 LOB. Brewers 3 Dodgers 2.,2 runs 3 hits 1 error 1 LOB. Brewers 3 Dodgers 2.\
Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1,Top of the 7th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Cingrani facing 8-9-1\
,,,,,,,,,Tony\'a0Cingrani replaces Adrian\'a0Gonzalez (1B) pitching and batting 6thChase\'a0Utley moves from PH to 1B,Tony\'a0Cingrani replaces Adrian\'a0Gonzalez (1B) pitching and batting 6thChase\'a0Utley moves from PH to 1B,Tony\'a0Cingrani replaces Adrian\'a0Gonzalez (1B) pitching and batting 6thChase\'a0Utley moves from PH to 1B\
t7,3-2,0,---,4(1-2)\'a0..CBSS,O,MIL,Orlando\'a0Arcia,Tony\'a0Cingrani,-2%,67%,Strikeout Swinging\
t7,3-2,1,---,3(1-1)\'a0BCX,,MIL,Jimmy\'a0Nelson,Tony\'a0Cingrani,3%,70%,Single to CF (Line Drive)\
t7,3-2,1,1--,3(0-2)\'a0CFC,O,MIL,Eric\'a0Sogard,Tony\'a0Cingrani,-3%,67%,Strikeout Looking\
t7,3-2,2,1--,6(3-2)\'a0BBCFB>X,O,MIL,Hernan\'a0Perez,Tony\'a0Cingrani,-3%,64%,Groundout: P-1B (P's Left)\
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 2.\
Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7,Bottom of the 7th Dodgers Batting Behind 2-3 Brewers' Jimmy\'a0Nelson facing 5-6-7\
b7,2-3,0,---,3(1-1)\'a0FBX,O,LAD,Yasmani\'a0Grandal,Jimmy\'a0Nelson,5%,69%,Groundout: 1B unassisted\
,,,,,,,,,Austin\'a0Barnes pinch hits for Tony\'a0Cingrani (P) batting 6th,Austin\'a0Barnes pinch hits for Tony\'a0Cingrani (P) batting 6th,Austin\'a0Barnes pinch hits for Tony\'a0Cingrani (P) batting 6th\
b7,2-3,1,---,4(1-2)\'a0.CCBX,,LAD,Austin\'a0Barnes,Jimmy\'a0Nelson,-5%,64%,Single to RF (Line Drive to Deep 1B)\
b7,2-3,1,1--,6(3-2)\'a0BBC1CB>X,O,LAD,Logan\'a0Forsythe,Jimmy\'a0Nelson,6%,70%,Popfly: SS (Weak SS)\
,,,,,,,,,Anthony\'a0Swarzak replaces Jimmy\'a0Nelson pitching and batting 9thYasiel\'a0Puig pinch hits for Enrique\'a0Hernandez (RF) batting 8th,Anthony\'a0Swarzak replaces Jimmy\'a0Nelson pitching and batting 9thYasiel\'a0Puig pinch hits for Enrique\'a0Hernandez (RF) batting 8th,Anthony\'a0Swarzak replaces Jimmy\'a0Nelson pitching and batting 9thYasiel\'a0Puig pinch hits for Enrique\'a0Hernandez (RF) batting 8th\
b7,2-3,2,1--,6(2-2)\'a0..CSBFBX,O,LAD,Yasiel\'a0Puig,Anthony\'a0Swarzak,5%,75%,Groundout: 2B-1B (SS-2B)\
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 1 hit 0 errors 1 LOB. Brewers 3 Dodgers 2.\
Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5,Top of the 8th Brewers Batting Ahead 3-2 Dodgers' Tony\'a0Watson facing 3-4-5\
,,,,,,,,,Tony\'a0Watson replaces Yasiel\'a0Puig (PH) pitching and batting 8thAustin\'a0Barnes moves from PH to 2B Logan\'a0Forsythe moves from 2B to LF Curtis\'a0Granderson moves from LF to RF,Tony\'a0Watson replaces Yasiel\'a0Puig (PH) pitching and batting 8thAustin\'a0Barnes moves from PH to 2B Logan\'a0Forsythe moves from 2B to LF Curtis\'a0Granderson moves from LF to RF,Tony\'a0Watson replaces Yasiel\'a0Puig (PH) pitching and batting 8thAustin\'a0Barnes moves from PH to 2B Logan\'a0Forsythe moves from 2B to LF Curtis\'a0Granderson moves from LF to RF\
t8,3-2,0,---,5(2-2)\'a0....BCFBS,O,MIL,Neil\'a0Walker,Tony\'a0Watson,-2%,73%,Strikeout Swinging\
t8,3-2,1,---,2(0-1)\'a0SX,O,MIL,Travis\'a0Shaw,Tony\'a0Watson,-2%,71%,Groundout: SS-1B (SS-2B)\
t8,3-2,2,---,1(0-0)\'a0X,,MIL,Domingo\'a0Santana,Tony\'a0Watson,1%,72%,Single to RF (Line Drive to Deep 2B-1B)\
,,,,,,,,,Manny\'a0Pina pinch hits for Stephen\'a0Vogt (C) batting 6th,Manny\'a0Pina pinch hits for Stephen\'a0Vogt (C) batting 6th,Manny\'a0Pina pinch hits for Stephen\'a0Vogt (C) batting 6th\
t8,3-2,2,1--,1(0-0)\'a0.1>S,O,MIL,Manny\'a0Pina,Tony\'a0Watson,-2%,70%,Santana Caught Stealing 2B (C-2B)\
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Brewers 3 Dodgers 2.,0 runs 1 hit 0 errors 0 LOB. Brewers 3 Dodgers 2.,0 runs 1 hit 0 errors 0 LOB. Brewers 3 Dodgers 2.\
Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2,Bottom of the 8th Dodgers Batting Behind 2-3 Brewers' Anthony\'a0Swarzak facing 9-1-2\
,,,,,,,,,Manny\'a0Pina moves from PH to C,Manny\'a0Pina moves from PH to C,Manny\'a0Pina moves from PH to C\
b8,2-3,0,---,4(1-2)\'a0.BCSH,,LAD,Chase\'a0Utley,Anthony\'a0Swarzak,-10%,60%,Hit By Pitch\
b8,2-3,0,1--,2(1-0)\'a0BX,O,LAD,Chris\'a0Taylor,Anthony\'a0Swarzak,9%,69%,Flyball: RF\
,,,,,,,,,Josh\'a0Hader replaces Anthony\'a0Swarzak pitching and batting 9th,Josh\'a0Hader replaces Anthony\'a0Swarzak pitching and batting 9th,Josh\'a0Hader replaces Anthony\'a0Swarzak pitching and batting 9th\
b8,2-3,1,1--,5(2-2)\'a0.SBBCS,O,LAD,Corey\'a0Seager,Josh\'a0Hader,8%,77%,Strikeout Swinging\
b8,2-3,2,1--,1(0-0)\'a0X,O,LAD,Justin\'a0Turner,Josh\'a0Hader,7%,84%,Lineout: CF (Deep CF)\
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 0 hits 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 0 hits 0 errors 1 LOB. Brewers 3 Dodgers 2.\
Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8,Top of the 9th Brewers Batting Ahead 3-2 Dodgers' Kenley\'a0Jansen facing 6-7-8\
,,,,,,,,,Kenley\'a0Jansen replaces Tony\'a0Watson pitching and batting 8th,Kenley\'a0Jansen replaces Tony\'a0Watson pitching and batting 8th,Kenley\'a0Jansen replaces Tony\'a0Watson pitching and batting 8th\
t9,3-2,0,---,6(3-2)\'a0.CSBBBB,,MIL,Manny\'a0Pina,Kenley\'a0Jansen,2%,86%,Walk\
t9,3-2,0,1--,5(2-2)\'a0L*BCBS,O,MIL,Keon\'a0Broxton,Kenley\'a0Jansen,-2%,84%,Strikeout Swinging\
t9,3-2,1,1--,3(0-2)\'a0CC1S,O,MIL,Orlando\'a0Arcia,Kenley\'a0Jansen,-2%,82%,Strikeout Swinging\
,,,,,,,,,Ryan\'a0Braun pinch hits for Josh\'a0Hader (P) batting 9th,Ryan\'a0Braun pinch hits for Josh\'a0Hader (P) batting 9th,Ryan\'a0Braun pinch hits for Josh\'a0Hader (P) batting 9th\
t9,3-2,2,1--,4(1-2)\'a0.CSB>B,,MIL,Ryan\'a0Braun,Kenley\'a0Jansen,1%,83%,Pina Steals 2B\
t9,3-2,2,-2-,6(2-2)\'a0.CSB>B.FS,O,MIL,Ryan\'a0Braun,Kenley\'a0Jansen,-3%,80%,Strikeout Swinging\
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 0 hits 0 errors 1 LOB. Brewers 3 Dodgers 2.,0 runs 0 hits 0 errors 1 LOB. Brewers 3 Dodgers 2.\
Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6,Bottom of the 9th Dodgers Batting Behind 2-3 Brewers' Corey\'a0Knebel facing 4-5-6\
,,,,,,,,,Corey\'a0Knebel replaces Ryan\'a0Braun (PH) pitching and batting 9th,Corey\'a0Knebel replaces Ryan\'a0Braun (PH) pitching and batting 9th,Corey\'a0Knebel replaces Ryan\'a0Braun (PH) pitching and batting 9th\
b9,2-3,0,---,3(0-2)\'a0.CCH,,LAD,Curtis\'a0Granderson,Corey\'a0Knebel,-13%,67%,Hit By Pitch\
,,,,,,,,,Hit by Pitch Challenged by MIL manager (Craig Counsell): Original call upheld upon review.,Hit by Pitch Challenged by MIL manager (Craig Counsell): Original call upheld upon review.,Hit by Pitch Challenged by MIL manager (Craig Counsell): Original call upheld upon review.\
b9,2-3,0,1--,4(1-2)\'a01F1BC111S,O,LAD,Yasmani\'a0Grandal,Corey\'a0Knebel,12%,79%,Strikeout Swinging\
b9,2-3,1,1--,3(2-0)\'a0BBX,O,LAD,Austin\'a0Barnes,Corey\'a0Knebel,7%,86%,Groundout: 3B-1B (SS-3B Hole); Granderson to 2B\
b9,2-3,2,-2-,6(3-2)\'a0CB*BCBB,,LAD,Logan\'a0Forsythe,Corey\'a0Knebel,-3%,83%,Walk\
,,,,,,,,,Kyle\'a0Farmer pinch hits for Kenley\'a0Jansen (P) batting 8th,Kyle\'a0Farmer pinch hits for Kenley\'a0Jansen (P) batting 8th,Kyle\'a0Farmer pinch hits for Kenley\'a0Jansen (P) batting 8th\
b9,2-3,2,12-,8(3-2)\'a0.BBCBT>F>F>S,O,LAD,Kyle\'a0Farmer,Corey\'a0Knebel,17%,100%,Strikeout Swinging\
t1,0-0,0,---,7(3-2)\'a0CBSBBFX,O,LAD,Chris\'a0Taylor,Zack\'a0Godley,2%,52%,Flyball: RF (Deep RF)\
t1,0-0,1,---,3(1-1)\'a0CBX,O,LAD,Curtis\'a0Granderson,Zack\'a0Godley,2%,54%,Flyball: CF (Deep CF)\
t1,0-0,2,---,4(2-1)\'a0BCBX,O,LAD,Justin\'a0Turner,Zack\'a0Godley,1%,55%,Popfly: SS (Short LF-CF)\
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Dodgers 0 Diamondbacks 0.,0 runs 0 hits 0 errors 0 LOB. Dodgers 0 Diamondbacks 0.,0 runs 0 hits 0 errors 0 LOB. Dodgers 0 Diamondbacks 0.\
Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3,Bottom of the 1st Diamondbacks Batting Tied 0-0 Dodgers' Rich\'a0Hill facing 1-2-3\
b1,0-0,0,---,4(1-2)\'a0CBCX,,ARI,David\'a0Peralta,Rich\'a0Hill,3%,58%,Single to CF (Ground Ball thru SS-2B)\
b1,0-0,0,1--,6(2-2)\'a01CBBCFS,O,ARI,Chris\'a0Iannetta,Rich\'a0Hill,-3%,55%,Strikeout Swinging\
b1,0-0,1,1--,2(1-0)\'a0B1X,RR,ARI,AJ\'a0Pollock,Rich\'a0Hill,16%,71%,Home Run (Fly Ball to Deep LF-CF); Peralta Scores\
b1,2-0,1,---,8(1-2)\'a0FFFBFFFX,,ARI,Paul\'a0Goldschmidt,Rich\'a0Hill,2%,73%,Single to P (Line Drive to Short 1B Line)\
b1,2-0,1,1--,2(0-1)\'a0FX,,ARI,J.D.\'a0Martinez,Rich\'a0Hill,6%,79%,Ground-rule Double (Line Drive to Deep LF Line); Goldschmidt to 3B\
b1,2-0,1,-23,1(0-0)\'a0X,RR,ARI,Brandon\'a0Drury,Rich\'a0Hill,8%,86%,Double to LF (Line Drive to Deep LF-CF); Goldschmidt Scores; Martinez Scores\
b1,4-0,1,-2-,5(3-1)\'a0BCBBX,R,ARI,Jake\'a0Lamb,Rich\'a0Hill,4%,90%,Single to CF (Ground Ball); Drury Scores\
b1,5-0,1,1--,4(0-2)\'a0CFF1C,O,ARI,Adam\'a0Rosales,Rich\'a0Hill,-1%,89%,Strikeout Looking\
b1,5-0,2,1--,3(0-2)\'a0SSS,O,ARI,Zack\'a0Godley,Rich\'a0Hill,-1%,88%,Strikeout Swinging\
