Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description\
t1,0-0,0,1--,3(1-1)\'a0BCX,,COL,DJ\'a0LeMahieu,Clayton\'a0Kershaw,-5%,41%,Single to LF (Line Drive); Blackmon to 2B\
t1,0-0,0,12-,2(0-1)\'a0CX,,COL,Nolan\'a0Arenado,Clayton\'a0Kershaw,-7%,34%,Single to RF (Line Drive to Short RF); Blackmon to 3B; LeMahieu to 2B\
t1,0-0,0,123,4(1-2)\'a0SBSS,O,COL,Carlos\'a0Gonzalez,Clayton\'a0Kershaw,7%,40%,Strikeout Swinging\
t1,0-0,1,123,6(3-2)\'a0BFSB*BX,RO,COL,Mark\'a0Reynolds,Clayton\'a0Kershaw,-1%,39%,Flyball: RF/Sacrifice Fly (Deep CF-RF); Blackmon Scores; LeMahieu to 3B; Arenado to 2B\
t1,1-0,2,-23,5(2-2)\'a0B*BLCC,O,COL,Gerardo\'a0Parra,Clayton\'a0Kershaw,5%,44%,Strikeout Looking\
t2,1-0,0,---,3(0-2)\'a0TCC,O,COL,Trevor\'a0Story,Clayton\'a0Kershaw,2%,41%,Strikeout Looking\
t2,1-0,1,---,3(1-1)\'a0FBX,O,COL,Dustin\'a0Garneau,Clayton\'a0Kershaw,1%,43%,Groundout: 3B-1B (SS-3B Hole)\
t2,1-0,2,---,4(1-2)\'a0CCBS,O,COL,Tyler\'a0Anderson,Clayton\'a0Kershaw,1%,44%,Strikeout Swinging\
t3,1-1,0,---,1(0-0)\'a0X,O,COL,Charlie\'a0Blackmon,Clayton\'a0Kershaw,3%,53%,Groundout: C-1B (Front of Home)\
t3,1-1,1,---,4(1-2)\'a0CBFX,O,COL,DJ\'a0LeMahieu,Clayton\'a0Kershaw,2%,54%,Groundout: SS-1B (SS-2B)\
t3,1-1,2,---,5(2-2)\'a0TBBSX,O,COL,Nolan\'a0Arenado,Clayton\'a0Kershaw,1%,55%,Lineout: RF (Deep RF)\
t4,1-1,0,---,4(1-2)\'a0BCS.X,O,COL,Stephen\'a0Cardullo,Clayton\'a0Kershaw,3%,53%,Groundout: 3B-1B (Weak 3B)\
t4,1-1,1,---,4(0-2)\'a0CSFS,O,COL,Mark\'a0Reynolds,Clayton\'a0Kershaw,2%,55%,Strikeout Swinging\
t4,1-1,2,---,3(2-0)\'a0BBX,O,COL,Gerardo\'a0Parra,Clayton\'a0Kershaw,1%,56%,Groundout: 2B-1B\
t5,1-1,0,---,3(0-2)\'a0CSX,,COL,Trevor\'a0Story,Clayton\'a0Kershaw,-8%,42%,Double to CF (Line Drive to Deep CF)\
t5,1-1,0,-2-,1(0-0)\'a0X,O,COL,Dustin\'a0Garneau,Clayton\'a0Kershaw,6%,47%,Lineout: LF (Deep LF-CF)\
t5,1-1,1,-2-,4(0-2)\'a0CCFX,O,COL,Tyler\'a0Anderson,Clayton\'a0Kershaw,5%,52%,Popfly: 2B (Deep 2B)\
t5,1-1,2,-2-,4(1-2)\'a0CCBS,O,COL,Charlie\'a0Blackmon,Clayton\'a0Kershaw,5%,57%,Strikeout Swinging\
t6,1-4,0,---,3(0-2)\'a0.CFX,,COL,DJ\'a0LeMahieu,Clayton\'a0Kershaw,-6%,81%,Double to CF (Line Drive to Deep CF-RF)\
t6,1-4,0,-2-,1(0-0)\'a0X,O,COL,Nolan\'a0Arenado,Clayton\'a0Kershaw,3%,84%,Flyball: RF (Deep CF-RF); LeMahieu to 3B\
t6,1-4,1,--3,2(0-1)\'a0FX,R,COL,Stephen\'a0Cardullo,Clayton\'a0Kershaw,-6%,78%,Single to RF (Line Drive to Short CF-RF); LeMahieu Scores\
t6,2-4,1,1--,6(3-2)\'a0S1F*BB*BC,O,COL,Mark\'a0Reynolds,Clayton\'a0Kershaw,4%,82%,Strikeout Looking\
t6,2-4,2,1--,2(0-1)\'a0SX,O,COL,Gerardo\'a0Parra,Clayton\'a0Kershaw,3%,85%,Groundout: 1B unassisted (Weak 2B-1B)\
